status	artifact	check	detail
pass	simplyrest_phase1_wp_cli_import.php	file exists	found
pass	simplyrest_phase1_wp_preflight.php	file exists	found
pass	simplyrest_phase1_wp_rollback.php	file exists	found
pass	simplyrest_phase1_jsonld_renderer_mu_plugin.php	file exists	found
pass	simplyrest_phase1_live_qa_checker.py	file exists	found
pass	simplyrest_phase1_launch_gate.php	file exists	found
pass	simplyrest_phase1_as3_redirect_cleanup.php	file exists	found
pass	simplyrest_phase1_as3_media_import.php	file exists	found
pass	simplyrest_phase1_lab_media_import.php	file exists	found
pass	simplyrest_phase1_retrofit_batch.php	file exists	found
pass	simplyrest_retrofit_live_qa_checker.py	file exists	found
pass	simplyrest_retrofit_package_qa.py	file exists	found
pass	simplyrest_phase1_package_qa.py	file exists	found
pass	simplyrest_phase1_goal_completion_audit.py	file exists	found
pass	simplyrest_phase1_local_readiness.py	file exists	found
pass	simplyrest-phase1-goal-completion-audit-2026-06-25.tsv	file exists	found
pass	simplyrest-phase1-goal-completion-audit-2026-06-25.md	file exists	found
pass	simplyrest-phase1-local-readiness-report-2026-06-25.tsv	file exists	found
pass	simplyrest-phase1-local-readiness-report-2026-06-25.md	file exists	found
pass	simplyrest-phase1-package-qa-instructions-2026-06-25.md	file exists	found
fail	simplyrest-retrofit-package-qa-instructions-2026-06-25.md	file exists	missing
fail	simplyrest-phase1-wordpress-deploy-bundle-2026-06-25.zip	file exists	missing
pass	simplyrest-as3-optimized-media-2026-06-25.zip	file exists	found
pass	simplyrest-as3-optimized-media-upload-manifest-2026-06-25.tsv	file exists	found
pass	simplyrest-as3-media-section-replacement-2026-06-25.html	file exists	found
pass	simplyrest-lab-proof-media-2026-06-25.zip	file exists	found
pass	simplyrest-lab-proof-media-upload-manifest-2026-06-25.tsv	file exists	found
pass	simplyrest-mattress-scoring-matrix-2026-06-25.tsv	file exists	found
pass	simplyrest-mattress-scoring-matrix-2026-06-25.json	file exists	found
pass	simplyrest-official-source-content-pack-2026-06-25.zip	file exists	found
pass	simplyrest-official-source-content-pack-summary-2026-06-25.tsv	file exists	found
pass	simplyrest-official-source-content-pack-summary-2026-06-25.md	file exists	found
pass	simplyrest-retrofit-slug-manifest-2026-06-25.tsv	file exists	found
pass	simplyrest-122-url-retrofit-implementation-tracker-2026-06-25.tsv	file exists	found
pass	simplyrest-internal-linking-map-2026-06-25.tsv	file exists	found
pass	simplyrest-retrofit-and-linking-operator-brief-2026-06-25.md	file exists	found
pass	simplyrest-retrofit-gutenberg-block-library-2026-06-25.html	file exists	found
pass	simplyrest-retrofit-live-qa-instructions-2026-06-25.md	file exists	found
pass	simplyrest-retrofit-live-qa-report-2026-06-25.tsv	file exists	found
pass	simplyrest-retrofit-live-qa-baseline-2026-06-25.md	file exists	found
pass	simplyrest-retrofit-package-qa-report-2026-06-25.tsv	file exists	found
pass	simplyrest-phase1-static-preview-package-2026-06-25.zip	file exists	found
fail	simplyrest-phase1-wordpress-deploy-bundle-2026-06-25.zip	zip readable	deploy bundle is missing
pass	simplyrest_phase1_wp_cli_import.php	snapshot controls	pre-import snapshot controls present
pass	simplyrest_phase1_wp_cli_import.php	priority page count	5 pages embedded
pass	simplyrest_phase1_wp_cli_import.php	priority page paths	paths match launch set
pass	importer:mattress-lab	canonical	matches target URL
pass	importer:mattress-lab	meta title	present
pass	importer:mattress-lab	meta description	present
pass	importer:mattress-lab	meta description length	165 chars or fewer
pass	importer:mattress-lab	author display	Ferdie/Firdous present
pass	importer:mattress-lab	lead tester meta	Ferdie/Firdous present
pass	importer:mattress-lab	schema type coverage	types present: Answer; Article; BreadcrumbList; FAQPage; ListItem; Organization; Person; Question; WebPage
pass	importer:mattress-lab	schema object	schema is an object
pass	importer:mattress-lab	schema context	schema.org context
pass	importer:mattress-lab	schema graph	6 graph nodes
pass	importer:mattress-lab	schema duplicate ids	none found
pass	importer:mattress-lab	WebPage node	present
pass	importer:mattress-lab	page node id	matches canonical #webpage
pass	importer:mattress-lab	page node url	matches canonical
pass	importer:mattress-lab	Person node	present
pass	importer:mattress-lab	Person id	Ferdie person id
pass	importer:mattress-lab	Person name	Firdous present
pass	importer:mattress-lab	Person alternate name	Ferdie present
pass	importer:mattress-lab	Person job title	lead hands-on tester present
pass	importer:mattress-lab	Organization node	present
pass	importer:mattress-lab	Organization id	Simply Rest organization id
pass	importer:mattress-lab	Organization url	Simply Rest home URL
pass	importer:mattress-lab	Article author	references Ferdie
pass	importer:mattress-lab	Article publisher	references Simply Rest
pass	importer:mattress-lab	Article mainEntityOfPage	references page node
pass	importer:mattress-lab	BreadcrumbList node	present
pass	importer:mattress-lab	Breadcrumb items	2 items
pass	importer:mattress-lab	Breadcrumb terminal URL	matches canonical
pass	importer:mattress-lab	FAQPage node	present
pass	importer:mattress-lab	FAQ question count	3 questions
pass	importer:mattress-lab	FAQ answer completeness	all questions have answers
pass	importer:mattress-lab	FAQ content alignment	FAQ questions appear in page content
pass	importer:mattress-lab	content markers	required markers present
pass	importer:mattress-lab	required internal links	required links present
pass	importer:mattress-lab	affiliate disclosure	present
pass	importer:mattress-lab	medical limitation	present
pass	importer:mattress-lab	forbidden public markers	none found
pass	importer:how-we-test-mattresses	canonical	matches target URL
pass	importer:how-we-test-mattresses	meta title	present
pass	importer:how-we-test-mattresses	meta description	present
pass	importer:how-we-test-mattresses	meta description length	165 chars or fewer
pass	importer:how-we-test-mattresses	author display	Ferdie/Firdous present
